Bidang_Riset,Motivasi_Studi,Motivasi_Beasiswa,Pengalaman_Penelitian,Rencana_Riset,Komunikasi,Problem_Solving,Literatur_Review,Team_Work,Nilai_Total_Interview,Jenis_TOEFL,Nilai_Setara_TOEFL,Jenis_TPA,Nilai_TPA,Matematika_Komputasi,Jaringan,Basis_Data,Algoritma_dan_Pemrograman,Nilai_Tes_Bidang,Akreditasi_Kampus,Nilai_Setara_IPK,Jenis_Beasiswa,Nilai_Total,Kategori_Lulus
1,90,75,75,82,82,82,78,85,81.7,2,70.78,3,80.07,20.01,33.4,40.02,33.4,31.71,2,87.3,1,68.7,0
3,80,75,80,80,75,70,80,75,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,4,81.87,1,66.24,1
1,80,75,80,80,75,80,70,75,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,2,81.87,1,66.24,1
3,80,75,80,75,75,75,75,75,77,4,95.6,1,50,33.4,20.01,66.7,13.34,33.36,5,87.4,1,65.46,0
3,85,75,80,70,75,75,80,70,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,4,81.87,1,66.24,1
5,70,75,70,75,80,80,80,75,75,4,93.33,3,93.57,33.4,40.02,73.4,26.7,43.38,3,81.00,1,72.61,0
5,80,80,80,75,75,75,80,70,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,3,81.87,3,66.24,1
3,85,85,80,70,75,65,75,80,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,4,81.87,4,66.24,0
1,80,80,80,65,75,70,80,80,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,3,81.87,3,66.24,1
3,75,75,70,80,80,85,80,75,77,1,78.25,1,50,60.03,26.7,66.7,66.7,55.03,4,94.00,1,70.13,0
3,90,75,75,85,82,85,80,85,82.7,4,77.73,3,87.71,26.7,33.4,46.7,46.7,38.38,5,84.5,1,72.14,0
2,78,75,70,75,78,78,76,74,75.3,1,70,3,82.66,20.01,33.4,60.03,6.7,30.04,2,69.49,1,63.89,1
4,80,75,75,70,80,75,80,80,77.5,2,77.35,3,97.13,40.02,40.02,73.4,80.04,58.37,2,87.00,1,77.07,0
3,85,75,80,80,75,75,70,70,76.23,1,68.97,1,68.67,30.14,30.14,30.14,30.14,30.14,5,81.87,1,66.24,1
3,90,75,80,85,82,85,83,85,84.3,1,75,1,50,20.01,33.4,46.7,20.01,30.03,4,94.76,1,66.23,0
4,70,75,75,65,75,65,65,70,69.2,4,79.07,1,50,26.68,26.68,33.35,20.01,26.68,3,88.00,1,58.34,1
2,75,80,70,70,60,70,70,70,71,4,81.73,1,50,20.01,26.68,80.04,6.67,33.35,1,83.6,2,59.11,1
3,75,75,70,70,75,60,65,70,69.2,4,68.67,1,50,40.02,33.35,53.36,60.03,46.69,1,77.5,1,63.16,1
3,75,80,70,75,70,75,70,70,73,2,81.73,3,88.47,40.02,40.02,53.36,46.69,45.02,5,87.25,3,66.88,0
2,85,75,70,75,80,85,75,85,78.5,1,68.47,1,50,20.01,13.34,46.69,26.68,26.68,5,74.1,1,56.07,0
3,78,75,70,80,80,80,70,75,75.1,2,68.12,2,63.38,20.01,60.03,26.68,26.68,33.35,2,73.39,1,58.45,1
4,85,75,70,82,85,85,80,85,82,4,77.51,3,80.94,13.34,33.35,40.02,20.01,26.68,5,81.25,1,60.15,0
3,85,75,70,75,80,80,75,80,78,2,74.67,3,83.42,33.35,33.35,40.02,26.68,33.35,5,73.25,1,61.93,0
5,80,80,80,80,75,75,80,80,79,2,80,1,50,33.35,33.35,46.69,80.04,48.36,3,90.5,3,66.63,1
5,70,75,70,70,65,60,70,70,67,2,66.95,1,50,53.36,46.69,13.34,40.02,38.35,3,80.75,1,60.14,1
3,80,75,70,70,80,60,70,60,70,4,79.6,3,75,20.01,40.02,53.36,60.03,43.36,3,86.75,1,69.65,1
2,70,70,75,78,70,70,70,65,71,4,69.66,1,50,20.01,53.36,66.7,46.69,46.69,1,90.25,4,67.28,1
3,70,75,65,70,70,70,70,80,70,1,71.28,2,57.88,40.02,13.34,46.69,80.04,45.02,1,73.75,1,65.22,1
2,75,75,70,60,70,75,65,65,68,2,69.67,3,98.45,40.02,13.34,40.02,40.02,33.35,4,77.00,1,64.13,1
2,70,75,75,70,70,70,70,70,70,1,71.7,3,65.42,20.01,33.35,60.03,33.35,36.69,1,79.56,1,60.56,1
3,70,75,70,70,75,70,65,65,69,2,75.05,3,65.3,6.67,26.68,33.35,26.68,23.35,1,61.84,1,54.84,1
2,80,75,80,75,70,70,75,70,74,1,70,1,50,46.69,40.02,26.68,46.69,40.02,4,77.56,1,58.19,0
3,70,75,75,65,65,75,70,70,70,2,50,1,50,53.36,26.68,80.04,93.38,63.37,3,95.5,1,72.36,1
5,80,80,80,70,80,80,70,70,76.25,4,89.26,3,89.26,20.01,20.01,40.02,46.69,31.68,4,84.08,3,64.36,0
4,78,75,70,78,75,80,70,80,75,1,55,3,63.55,26.68,33.35,26.68,26.68,28.35,1,67.69,1,54.76,1
1,75,75,65,65,70,65,70,70,68,1,50,1,50,6.67,26.68,33.35,6.67,18.34,2,68.64,1,51.53,1
2,80,80,70,80,80,80,60,75,73.5,4,83.17,3,83.17,20.01,26.68,60.03,80.04,46.69,3,81.5,3,64.53,0
3,75,80,70,70,75,75,70,75,73.75,4,81.73,3,108.46,33.35,33.35,73.37,26.68,41.69,4,79.00,2,67.06,0
2,80,75,75,75,80,75,75,75,76,4,77.35,3,91.03,33.35,40.02,53.36,33.35,40.02,5,85.74,1,64.62,0
2,80,75,75,75,70,70,75,75,74.5,2,72.5,1,50,26.68,33.35,46.69,33.35,35.02,1,70.06,1,57.84,1
5,85,75,70,82,85,82,69,82,77.9,4,76.67,3,80.87,10,70,80,10.0,28.39,3,86.25,1,60.58,0
3,80,75,60,65,70,75,75,60,70,1,70,1,50,60,40,110,90.0,50.1,3,75.5,1,64.04,1
5,80,75,70,70,80,70,75,70,73,1,66.5,1,70,20,40,10,50.0,35.07,4,82.00,1,56.97,0
2,80,80,75,75,80,78,80,80,78.5,1,75,1,70,50,10,70,40.0,43.42,2,77.00,2,62.77,0
4,90,75,80,60,80,70,75,80,77,2,76.08,1,70,40,60,90,40.0,38.41,4,86.4,1,60.94,0
3,85,75,75,80,75,80,70,70,77,4,96.93,3,94.63,50,80,90,60.0,46.76,5,89.25,1,70.00,0
2,70,75,75,70,75,78,60,60,70,4,91.07,3,86.93,20,30,120,120.0,48.43,3,89.75,1,70.89,1
2,70,80,70,75,65,65,70,65,70,2,66.97,3,71.17,60,70,80,40.0,41.75,2,85.5,2,62.88,1
1,70,75,70,75,70,70,65,65,70,2,70.35,1,50,30,80,110,80.0,50.1,1,90.75,1,63.67,1
1,80,80,80,78,80,80,70,75,77.3,1,78,1,50,60,20,110,70.0,43.42,3,89.5,1,63.2,0
2,70,75,80,75,75,60,65,70,70,4,70,3,71.09,0,30,130,130.0,48.43,1,79.5,1,64.51,1
2,70,80,70,70,75,70,0,70,71.35,2,71.35,3,75.37,30,60,90,50.0,38.41,1,84.00,2,59.24,1
3,80,75,70,75,70,80,75,80,77.7,2,77.7,3,93.33,50,40,10,50.0,40.08,2,80.75,1,62.66,0
3,85,75,75,85,85,80,80,85,81.5,4,87.6,3,92.48,40,70,140,140.0,65.13,3,82.5,1,77.58,0
2,75,75,70,65,65,75,70,75,70,4,71.07,1,50,40,30,80,30.0,30.06,3,86.00,1,58.36,1
3,85,85,75,78,90,85,85,90,85,4,84.4,3,84.75,40,50,80,30.0,33.4,3,91.5,3,66.91,0
3,70,75,70,85,80,78,70,80,80,4,80,3,75.6,60,30,70,10.0,28.39,5,86.5,1,57.77,0
2,80,80,70,75,75,70,70,80,78.58,2,71.58,3,87.95,40,60,70,20.0,31.73,4,90.75,2,61.68,0
4,80,75,70,60,80,60,70,90,69.73,4,69.73,3,68.46,40,70,110,90.0,51.77,2,80.00,3,66.02,1
2,85,80,75,70,80,80,75,78,79.08,2,79.08,3,90.33,60,60,10,50.0,45.09,3,87.5,1,67.93,0
5,80,75,86,80,80,75,78,75,79,4,63.6,2,72.38,10,30,60,20.0,20.04,1,70.25,1,48.42,0
1,85,75,60,80,85,90,80,85,80,4,93.33,3,92.75,50,80,130,130.0,65.13,3,83.75,1,77.43,0
3,70,75,70,70,75,60,75,60,68,4,79.07,3,78.67,50,40,110,70.0,45.09,2,87.4,1,63.05,1
5,85,75,70,80,82,82,85,82,80,2,77.89,3,92.93,20,20,70,40.0,25.05,3,83.25,1,61.99,0
2,80,80,70,75,75,80,75,70,76,1,80,1,50,80,50,10,110.0,56.78,4,92.5,3,67.67,0
2,80,75,70,65,80,60,65,60,68,4,81.73,3,64.58,30,30,70,50.0,30.06,1,92.00,1,63.6,1
3,85,85,85,90,90,85,85,85,84,4,84,3,113.34,60,60,10,40.0,43.42,3,90.5,1,74.08,0
2,80,75,60,75,80,75,80,75,81,4,81.73,1,50,70,40,90,10.0,50.1,5,83.5,1,65.13,0
3,75,75,70,75,75,80,80,70,83,4,83.6,3,96.71,20,20,80,40.0,26.72,4,81.25,3,62.28,0
1,80,80,70,70,80,76,80,80,77,2,20.75,1,70,50,50,10,60.0,43.42,4,75.75,1,56.1,0
1,70,75,70,70,60,60,80,60,98,4,79.07,3,99.18,70,70,80,50.0,45.09,5,85.75,1,68.78,0
5,80,75,70,65,60,75,75,60,70,4,75.07,1,50,60,10,90,20.0,30.06,2,80.25,1,61.05,1
5,80,75,70,76,75,75,80,70,76,2,65.81,2,51,40,60,80,40.0,36.74,2,84.15,2,62.25,1
3,80,75,65,65,60,75,75,75,71,2,72.28,3,109.97,50,30,90,90.0,43.42,3,75.75,1,65.5,0
4,80,75,65,65,60,75,75,75,71,4,93.73,3,106.42,40,50,10,110.0,50.1,3,85.75,1,74.13,1
4,80,75,70,65,80,75,80,75,75,1,60,1,70,50,80,110,130.0,61.79,3,81.9,1,66.89,0
3,80,75,80,80,75,60,70,80,78.67,4,78.67,3,93.98,50,30,70,20.0,28.39,3,86.75,1,60.55,0
2,80,80,80,80,80,80,80,80,81.73,4,81.73,3,105.78,40,60,110,40.0,41.75,2,78.25,4,69.19,0
5,80,75,70,70,82,75,75,80,76.16,2,66.16,1,50,40,10,140,40.0,38.41,2,74.58,1,58.31,0
